ID;collection_ID;movie_ID;position
55555555-5555-5555-5555-000000000001;44444444-4444-4444-4444-000000000001;M004;1
55555555-5555-5555-5555-000000000002;44444444-4444-4444-4444-000000000001;M006;2
55555555-5555-5555-5555-000000000003;44444444-4444-4444-4444-000000000001;M009;3
55555555-5555-5555-5555-000000000004;44444444-4444-4444-4444-000000000002;M010;1
55555555-5555-5555-5555-000000000005;44444444-4444-4444-4444-000000000002;M011;2
55555555-5555-5555-5555-000000000006;44444444-4444-4444-4444-000000000002;M012;3
55555555-5555-5555-5555-000000000007;44444444-4444-4444-4444-000000000003;M006;1
55555555-5555-5555-5555-000000000008;44444444-4444-4444-4444-000000000003;M007;2
55555555-5555-5555-5555-000000000009;44444444-4444-4444-4444-000000000003;M009;3
55555555-5555-5555-5555-000000000010;44444444-4444-4444-4444-000000000003;M013;4
55555555-5555-5555-5555-000000000011;44444444-4444-4444-4444-000000000003;M016;5
