ID;movie_ID;rating;comment;author;createdAt
11111111-1111-1111-1111-000000000001;M001;10;One of the most uplifting prison dramas ever told;alice;2025-02-01T10:00:00Z
11111111-1111-1111-1111-000000000002;M001;9;Morgan Freeman's narration is magic;bob;2025-02-03T14:30:00Z
11111111-1111-1111-1111-000000000003;M004;10;Heath Ledger redefined the comic-book villain;alice;2025-02-05T09:15:00Z
11111111-1111-1111-1111-000000000004;M004;9;Dark and relentless - peak Nolan;charlie;2025-02-06T18:00:00Z
11111111-1111-1111-1111-000000000005;M006;8;Still confused but impressed;bob;2025-02-10T11:00:00Z
11111111-1111-1111-1111-000000000006;M006;10;Every watch reveals a new detail;charlie;2025-02-12T21:45:00Z
11111111-1111-1111-1111-000000000007;M007;10;Woke up and chose action;alice;2025-02-15T20:00:00Z
11111111-1111-1111-1111-000000000008;M009;9;Emotionally devastating and scientifically curious;diana;2025-02-18T16:30:00Z
11111111-1111-1111-1111-000000000009;M010;10;Tolkien on film - doesn't get better;bob;2025-02-20T12:00:00Z
11111111-1111-1111-1111-000000000010;M012;10;The coronation scene gives me chills;alice;2025-02-22T19:30:00Z
11111111-1111-1111-1111-000000000011;M013;9;Pure cinematic magic for its time;charlie;2025-02-25T13:15:00Z
11111111-1111-1111-1111-000000000012;M017;7;Uncomfortable but unforgettable;diana;2025-03-01T22:00:00Z
11111111-1111-1111-1111-000000000013;M018;10;Bong Joon-ho is a genius;alice;2025-03-05T17:00:00Z
11111111-1111-1111-1111-000000000014;M002;10;Defines the gangster film genre;bob;2025-03-08T15:00:00Z
11111111-1111-1111-1111-000000000015;M020;10;One of the most important films ever made;charlie;2025-03-10T10:30:00Z
