ID;user;movie_ID;label;createdAt
33333333-3333-3333-3333-000000000001;alice;M003;Crime classics;2025-01-10T09:00:00Z
33333333-3333-3333-3333-000000000002;alice;M005;Cult favourites;2025-01-10T09:05:00Z
33333333-3333-3333-3333-000000000003;alice;M019;Crime classics;2025-01-11T10:00:00Z
33333333-3333-3333-3333-000000000004;bob;M011;LOTR saga;2025-01-12T14:00:00Z
33333333-3333-3333-3333-000000000005;bob;M014;Dinosaur mood;2025-01-12T14:10:00Z
33333333-3333-3333-3333-000000000006;bob;M016;Sci-fi visuals;2025-01-13T08:00:00Z
33333333-3333-3333-3333-000000000007;charlie;M008;Feel good;2025-01-15T19:00:00Z
33333333-3333-3333-3333-000000000008;charlie;M015;Epic romance;2025-01-16T20:00:00Z
33333333-3333-3333-3333-000000000009;diana;M017;Character studies;2025-01-18T21:30:00Z
33333333-3333-3333-3333-000000000010;diana;M018;International cinema;2025-01-19T16:00:00Z
